pos_inicial_bola;vento;gravidade;altura;pos_final_bola
605.0;0.06418046024566305;0.08;800;1211.6978907022544
538.0;0.04511644110095085;0.08;800;964.4857177272888
308.0;0.06731789447594788;0.08;800;490.1158803813691
119.0;0.04309637354410367;0.08;800;275.62063807133245
547.0;0.01776323531386915;0.08;800;714.9158634220053
93.0;0.006709279220782227;0.08;800;156.42281647405443
384.0;0.02596696715708985;0.08;800;655.1700039693659
509.0;0.031562241993870484;0.08;800;546.1371913778513
211.0;0.008010064408790233;0.08;800;287.6666349489124
528.0;0.061931697544365324;0.08;800;1113.440336886884
496.0;0.03769510343321925;0.08;800;751.2143122193744
317.0;0.03511765576544063;0.08;800;648.9671999507108
23.0;0.03564779375565449;0.08;800;359.9785943722018
231.0;0.0468728458184567;0.08;800;674.0890115218707
664.0;0.005553882121412273;0.08;800;770.6677355085318
471.0;0.013793380614856349;0.08;800;601.3888269522403
358.0;0.012066852430691378;0.08;800;472.0679560273255
633.0;0.042986402194179166;0.08;800;1039.3504599415762
436.0;0.01753178835573225;0.08;800;601.7279953267367
147.0;0.006799045081531699;0.08;800;211.27137315571915
